key,id,name,latitude,longitude,datum,note
120,8761955,Carrollton,29.9329,-90.135472,msl,
122,8762482,"West Bank 1, Bayou Gauche",29.788611,-90.420278,msl,
145,8773037,Seadrift,28.4069,-96.712402,msl,
160,8776139,S. Bird Island,27.484361,-97.318111,msl,
161,8776604,Baffin Bay,27.297,-97.405167,msl,
162,8777812,Rincon Del San Jose,26.801194,-97.4706,msl,
163,8778490,Port Mansfield,26.557639,-97.425722,msl,
